SMILES,AE
COc1cc(CN(CC(=O)NCc2ccccc2Cl)S(=O)(=O)c2ccc(CN3CCN(C)CC3)cc2)ccc1OCC(C)C,1.0981262700187688
COc1cc2c(cc1OC)CN(c1cc(N)c3cc(OC)c(OC)cc3n1)CC2,2.1854808555585743
COc1ccc(-c2c(C)nc3c(-c4ccccn4)cnn3c2N)cc1,0.372868009967382
COc1ccc(-c2ccc(C(=O)Nc3ccc4c(c3)CCC(CN(C)C)C4)cc2)cc1,0.5150453924407561
COc1ccc(-c2cnc3c(-c4cccc5ncccc45)cnn3c2)cc1,0.428973696988022
COc1ccc(-c2nc(Nc3ccc(F)cc3F)c3ccccc3n2)cc1OC,0.5442975296077899
COc1ccc(/C=C/C(=O)N2CCN(c3ccccn3)CC2)cc1,0.37685502599136633
COc1ccc(C#CC(C)(C)N)cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1,0.24165370124921282
COc1ccc(CNC(=O)c2c(C)nc3ccccn23)cc1,0.12901434115926236
COc1ccc(N)c2ccccc12,0.331803180647265
COc1ccc(N2CCc3c(-n4ccc(N5CCNC5=O)n4)cc(C)nc32)c(C)c1,0.15943588166726563
COc1ccc(Nc2ccc3ccccc3n2)cc1,0.9733516088339682
COc1ccc(OC)c(CNc2ccc3nc(N)nc(N)c3c2Cl)c1,0.17428652939822786
COc1ccc(OC)c(S(=O)(=O)N2CCC(CN3CCN(Cc4ccc(F)cc4)CC3)CC2)c1,0.4721886760066001
COc1ccc(SC)c2c1C[C@@H]1[C@@H](C2)OCCN1C,0.3433183439361063
COc1ccc(SCCc2ccncc2)cc1,0.8793306614250778
COc1ccc2[nH]cc(CN3CCCC4(CCN(c5nc(C)cc(C)n5)CC4)C3=O)c2c1,0.22912633634882695
COc1ccc2c(c1)CN(C(=O)CCN1CCC(Cc3ccccc3)CC1)CCS2,0.07784895624469179
COc1ccc2c(c1)CN(C)CCS2,0.19044344461412255
COc1ccc2nccc(-n3cc4c(n3)CCC(NC(=O)c3ccc5c(c3)NC(=O)CS5)C4)c2n1,0.43517500006916254
COc1cccc(-c2cccc(CCC3(C)CC(=O)N(C)C(N)=N3)c2)c1,0.2709800732966752
COc1cccc(-c2cnc(N)c(-c3ccc(C(N)=O)cc3)c2)c1,0.06418145737486469
COc1cccc(C(=O)Cn2cnc3c(C#N)c(N4CCNCC4)n(CC=C(C)C)c3c2=O)c1,0.6861054776163478
COc1cccc2[nH]cc(-c3ccnc(N)n3)c12,0.5825522584304696
COc1ccnc(N2CCC3(CCCN(Cc4c[nH]c5ccccc45)C3=O)CC2)n1,1.3522703559363003
CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)cc3)c2)cc1,0.6767066340826347
CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)nc3)c2)cc1,0.14654345811094505
CS(=O)(=O)c1ccc(-c2nc3c(c(=O)[nH]2)COCC3)cc1,1.1721462665100217
CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,0.6703805435546997
C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)cc(N(C)S(C)(=O)=O)c1)c1ccc(F)cc1,0.05232440142407846
CN(C)CC1CCc2cc(NC(=O)c3ccc(-c4ccc(F)cc4)cc3)ccc2C1,0.4825353159633696
CN(C)CCSc1nc2ccccc2cc1-c1ccccc1,0.02671347439265226
CN(CCC(=O)N1CCN(c2ccc(F)c(F)c2)CC1)CCC1c2ccccc2-c2ccccc21,1.1165086796022576
CN(CCC(=O)N1CCN(c2ccc(F)c(F)c2)CC1)CCC1c2ccccc2Oc2ccccc21,1.2606803985471622
Cc1[nH]c2ccccc2c1C1CCN(Cc2ccc(CCC(=O)N=O)cc2)C1,0.025559230695712643
Cc1[nH]c2ccccc2c1CCN1CCc2cc(CCC(=O)N=O)ccc2C1,0.4410341882340152
Cc1[nH]c2ccccc2c1CCNCc1ccc(CCC(=O)N=O)cc1,0.6031788630244534
Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,0.6210098923573035
Cc1cc(C)c2cc(C(=O)NC3CCN(C)CC3)[nH]c2c1,0.2678099448962463
Cc1cc(C)nc(N2CCC3(CCCC(=O)N3Cc3cccc4[nH]ccc34)CC2)n1,0.15240236896813464
